,Unnamed: 0,Name,Unnamed: 6,Distance.1,Mass.1,Radius.1
0,0,Sun,0,46.1,48.0,0.99
1,1,Sirius,1,192.0,19.0,1.63
2,2,Canopus,2,,,
3,3,Alpha Centauri,3,37.7,79.0,1.09
4,4,Arcturus,4,143.0,,
5,5,Vega,5,236.0,31.0,1.44
6,6,Capella,6,46.9,,
7,7,Rigel,7,87.2,54.0,0.98
8,8,Procyon,8,131.0,29.0,1.43
9,9,Betelgeuse,9,31.0,42.0,0.94
10,10,Achernar,10,28.6,42.0,0.94
11,11,Hadar,11,57.0,23.0,1.62
12,12,Altair,12,40.0,12.0,1.3
13,13,Acrux,13,34.0,40.0,0.94
14,14,Aldebaran,14,,,
15,15,Antares,15,96.0,29.0,1.43
16,16,Spica,16,30.0,23.0,
17,17,Pollux,17,70.0,52.0,0.98
18,18,Fomalhaut,18,51.0,52.0,0.98
19,19,Deneb,19,163.0,20.0,1.62
20,20,Mimosa,20,130.0,20.0,1.61
21,21,Regulus,21,70.0,47.0,0.97
22,22,Adhara,22,65.0,,
23,23,Shaula,23,65.0,,
24,24,Castor,24,65.0,,
25,25,Gacrux,25,111.0,47.0,0.97
26,26,Bellatrix,26,101.0,15.0,1.53
27,27,Elnath,27,155.0,20.0,1.62
28,28,Miaplacidus,28,152.0,27.0,1.41
29,29,Alnilam,29,35.0,33.0,0.99
30,30,Gamma Velorum,30,53.0,78.0,1.08
31,31,Alnair,31,,,
32,32,Alioth,32,12.578,80.0,1.27
33,33,Alnitak,33,184.0,65.0,1.9
34,34,Dubhe,34,24.0,65.0,1.9
35,35,Mirfak,35,16.2,80.0,0.97
36,36,Wezen,36,45.0,49.0,0.97
37,37,Sargas,37,47.0,88.0,1.15
38,38,Kaus Australis,38,192.0,23.0,1.66
39,39,Avior,39,59.0,45.0,0.95
40,40,Alkaid,40,80.0,18.0,1.3
41,41,Menkalinan,41,98.0,54.0,0.98
42,42,Atria,42,27.0,73.0,1.04
43,43,Alhena,43,20.9,73.0,1.43
44,44,Peacock,44,88.0,74.0,1.05
45,45,Alsephina[2],45,380.0,55.0,3.78
46,46,Mirzam,46,48.0,102.0,1.27
47,47,Polaris,47,29.8,20.0,1.32
48,48,Alphard,48,130.0,,
49,49,Mintaka,49,18.6,30.0,0.95
50,50,Scheat,50,50.0,,
51,51,Almaaz,51,85.0,80.0,1.09
52,52,Rasalgethi,52,34.0,100.0,1.26
53,53,Tau Ceti,53,142.0,39.0,1.97
54,54,Delta Pavonis,54,29.5,48.0,0.97
55,55,Ran,55,470.0,19.0,
56,56,V382 Carinae,56,82.0,22.0,1.78
57,57,Eta Carinae,57,42.0,64.0,1.0
58,58,Delta Cephei,58,69.0,1.04,72.0
59,59,Mu Cephei,59,44.0,64.0,1.0
60,60,Titawin,60,64.0,21.0,1.38
61,61,Rho Cassiopeiae,61,73.0,47.0,0.97
62,62,P Cygni,62,40.0,68.0,1.01
63,63,La Superba,63,81.0,83.0,
64,64,VV Cephei,64,41.62,61.0,1.01
65,65,61 Cygni,65,34.0,,
66,66,R Doradus,66,34.6,28.0,1.41
67,67,Polaris Australis,67,102.0,38.0,1.51
68,68,R Coronae Borealis,68,69.0,65.0,
69,69,54 Piscium,69,69.0,53.0,
70,70,Mira,70,39.0,56.0,0.99
71,71,RW Cephei,71,65.0,67.0,1.01
72,72,Lacaille 8760,72,51.0,75.0,1.05
73,73,V838 Monocerotis,73,40.0,,
74,74,HD 140283,74,60.0,72.0,1.03
75,75,II Pegasi,75,13.4,26.0,0.98
76,76,VY Canis Majoris,76,29.6,41.0,0.94
77,77,Pistol Star,77,25.8,37.0,0.94
78,78,S Doradus,78,49.0,43.0,0.94
79,79,UY Scuti,79,49.6,,
80,80,Barnard's Star,80,55.0,71.0,1.03
81,81,Luhman 16,81,60.0,2.01,68.0
82,82,Proxima Centauri,82,16.1,44.0,0.94
83,83,KIC 8462852,83,67.0,44.0,
84,84,R136a1,84,67.0,28.0,
85,85,Melnick 42,85,35.0,52.0,0.98
86,86,WR 102,86,43.0,48.0,0.99
87,87,VFTS 352,87,55.0,88.0,1.15
88,88,YBP 1194,88,77.0,46.0,0.96
89,89,Gliese 1214,89,23.53,62.0,1.0
90,90,NML Cygni,90,43.0,64.0,1.0
91,91,VB 10,91,27.6,77.0,1.07
92,92,WOH G64,92,50.0,50.0,0.98
93,93,TRAPPIST-1,93,95.0,,
94,94,2MASS J0523-1403,94,20.0,42.0,0.94
95,95,WISE 0855âˆ’0714,95,17.4,32.0,0.95
96,96,Icarus,96,59.0,49.0,0.96
